2024-06-01,2024-06-01,2024-06-20,lek1,30,10
2024-06-01,2024-06-01,2024-06-30,lek2,15,20
2024-06-01,2024-06-01,2024-06-20,lek1,29,10
2024-06-01,2024-06-01,2024-06-30,lek2,14,20
2024-06-08,2024-06-01,2024-06-20,lek1,30,10
2024-06-08,2024-06-01,2024-06-20,lek1,29,10
2024-06-08,2024-06-01,2024-06-30,lek2,15,20
2024-06-08,2024-06-01,2024-06-30,lek2,14,20
2024-06-15,2024-06-01,2024-06-20,lek1,30,10
2024-06-15,2024-06-01,2024-06-30,lek2,15,20
2024-06-19,2024-06-01,2024-06-30,lek2,13,20
2024-06-19,2024-06-01,2024-06-30,lek2,12,20
2024-06-19,2024-06-01,2024-06-30,lek2,11,20
2024-06-19,2024-06-01,2024-06-30,lek2,10,20
2024-06-19,2024-06-01,2024-06-30,lek2,9,20
2024-06-19,2024-06-01,2024-06-30,lek2,8,20
2024-06-20,2024-06-01,2024-06-30,lek2,7,20
2024-06-20,2024-06-01,2024-06-30,lek2,6,20
2024-06-20,2024-06-01,2024-06-30,lek2,5,20
2024-06-20,2024-06-01,2024-06-30,lek2,4,20
2024-06-20,2024-06-01,2024-06-30,lek2,3,20
2024-06-20,2024-06-01,2024-06-30,lek2,2,20
2024-06-20,2024-06-01,2024-06-30,lek2,1,20
2024-06-20,2024-06-01,2024-06-20,lek1,28,10
